programa,algoritmo,pagina_kb,memoria_mb,page_faults,paginas_escritas
compilador,LRU,4,1,25308,4231
compilador,LRU,4,2,10425,2173
compilador,LRU,4,4,4391,955
compilador,LRU,8,1,36707,5775
compilador,LRU,8,2,21091,3839
compilador,LRU,8,4,7632,1756
compilador,NRU,4,1,41819,3379
compilador,NRU,4,2,38178,2282
compilador,NRU,4,4,22559,239
compilador,NRU,8,1,41975,4464
compilador,NRU,8,2,38805,3313
compilador,NRU,8,4,32604,1687
compilador,Relogio,4,1,26789,4528
compilador,Relogio,4,2,11472,2398
compilador,Relogio,4,4,4765,1086
compilador,Relogio,8,1,38827,6250
compilador,Relogio,8,2,22655,4162
compilador,Relogio,8,4,8412,1981
compilador,Otimo,4,1,12667,2483
compilador,Otimo,4,2,5662,1328
compilador,Otimo,4,4,3047,726
compilador,Otimo,8,1,21271,3711
compilador,Otimo,8,2,10118,2190
compilador,Otimo,8,4,4232,1078
compressor,LRU,4,1,397,48
compressor,LRU,4,2,317,0
compressor,LRU,4,4,317,0
compressor,LRU,8,1,533,132
compressor,LRU,8,2,255,0
compressor,LRU,8,4,255,0
compressor,NRU,4,1,595,0
compressor,NRU,4,2,317,0
compressor,NRU,4,4,317,0
compressor,NRU,8,1,916,18
compressor,NRU,8,2,255,0
compressor,NRU,8,4,255,0
compressor,Relogio,4,1,432,71
compressor,Relogio,4,2,317,0
compressor,Relogio,4,4,317,0
compressor,Relogio,8,1,577,163
compressor,Relogio,8,2,255,0
compressor,Relogio,8,4,255,0
compressor,Otimo,4,1,317,36
compressor,Otimo,4,2,317,0
compressor,Otimo,4,4,317,0
compressor,Otimo,8,1,345,86
compressor,Otimo,8,2,255,0
compressor,Otimo,8,4,255,0
matriz,LRU,4,1,5673,1866
matriz,LRU,4,2,3632,1159
matriz,LRU,4,4,2803,789
matriz,LRU,8,1,10928,3273
matriz,LRU,8,2,4745,1623
matriz,LRU,8,4,2950,985
matriz,NRU,4,1,16410,1901
matriz,NRU,4,2,13863,1283
matriz,NRU,4,4,9133,276
matriz,NRU,8,1,17373,2470
matriz,NRU,8,2,14764,1652
matriz,NRU,8,4,12175,1072
matriz,Relogio,4,1,5980,1973
matriz,Relogio,4,2,3795,1218
matriz,Relogio,4,4,2901,809
matriz,Relogio,8,1,12896,3844
matriz,Relogio,8,2,4870,1676
matriz,Relogio,8,4,3064,1011
matriz,Otimo,4,1,3572,1267
matriz,Otimo,4,2,2672,985
matriz,Otimo,4,4,2543,672
matriz,Otimo,8,1,5361,1827
matriz,Otimo,8,2,2969,1109
matriz,Otimo,8,4,2295,843
simulador,LRU,4,1,11240,4092
simulador,LRU,4,2,5823,2444
simulador,LRU,4,4,4468,1846
simulador,LRU,8,1,16479,5546
simulador,LRU,8,2,8556,3395
simulador,LRU,8,4,4732,2094
simulador,NRU,4,1,25906,5127
simulador,NRU,4,2,24154,4385
simulador,NRU,4,4,18277,2146
simulador,NRU,8,1,24885,6002
simulador,NRU,8,2,22747,4616
simulador,NRU,8,4,20944,3952
simulador,Relogio,4,1,11876,4319
simulador,Relogio,4,2,6119,2587
simulador,Relogio,4,4,4618,1937
simulador,Relogio,8,1,17923,6070
simulador,Relogio,8,2,9140,3666
simulador,Relogio,8,4,4875,2171
simulador,Otimo,4,1,5981,2575
simulador,Otimo,4,2,4125,1884
simulador,Otimo,4,4,3890,1565
simulador,Otimo,8,1,9179,3528
simulador,Otimo,8,2,4748,2160
simulador,Otimo,8,4,3498,1620
